"","DistrictNumber","Name","Population","Violent","Property"
"1",57903,"Carrollton-Farmers Branch ISD",169245.061719997,370.850098795864,3216.80419818688
"2",57904,"Cedar Hill ISD",71513.367425777,161.285426860398,1300.35385260747
"3",57905,"Dallas ISD",1023774.24573811,6389.19509778032,33747.6743737696
"4",57906,"DeSoto ISD",57503.3504696177,173.040985725515,832.108584447665
"5",57907,"Duncanville ISD",98364.2047641483,491.112100214515,2782.57934310396
"6",57909,"Garland ISD",359424.459343953,900.458727821858,6877.89909908449
"7",57910,"Grand Prairie ISD",146382.569525511,482.530971264881,2999.96206362002
"8",57911,"Highland Park ISD (Dallas)",34798.3465216298,31.6529906393575,613.552715439517
"9",57912,"Irving ISD",189340.172260404,553.069058030452,4230.50494748275
"10",57913,"Lancaster ISD",42289.6068615542,185.688209096318,1333.66754172026
"11",57914,"Mesquite ISD",157369.31022101,768.224801847603,4617.64011205131
"12",57916,"Richardson ISD",172008.459842277,704.919169728368,4487.67932024765
"13",57919,"Sunnyvale ISD",18330.8442475896,72.4402709777844,421.102123023793
"14",57922,"Coppell ISD",77780.7019868895,181.099207285256,1288.74858587647
"15",84910,"Clear Creek ISD",239279.521029978,1451.82622829953,6721.68749364045
"16",101902,"Aldine ISD",176741.06109082,2025.87164852777,7713.08112015812
"17",101903,"Alief ISD",114872.725386267,1318.91887253389,4931.97246558446
"18",101905,"Channelview ISD",1650.92499936246,18.9554971985648,70.8816571674737
"19",101906,"Crosby ISD",20159.9294785903,231.471137030607,865.556709343985
"20",101907,"Cypress-Fairbanks ISD",69945.3511757278,727.304075230118,2927.52746652795
"21",101908,"Deer Park ISD",66908.9775350554,332.114840493006,1510.99143554426
"22",101910,"Galena Park ISD",38737.8382378973,289.390951136405,1217.12236195806
"23",101911,"Goose Creek Consolidated ISD",87008.6001462823,413.172971963857,2501.33386662976
"24",101912,"Houston ISD",1217657.75021448,13540.0612105398,51164.107027795
"25",101913,"Humble ISD",169056.859811713,1917.96102814438,8100.53892839993
"26",101914,"Katy ISD",172174.500941917,1658.92055189476,6846.82565009285
"27",101915,"Klein ISD",5457.85613238674,61.183350250766,230.411432655311
"28",101916,"La Porte ISD",71164.450750631,221.650062973016,1060.12018034039
"29",101917,"Pasadena ISD",184759.937903415,1672.16234967562,6364.65898778842
"30",101919,"Spring ISD",3129.93088365401,35.9370632340756,134.382051237171
"31",101920,"Spring Branch ISD",136190.851957404,1491.98631656358,5737.13450176027
"32",101921,"Tomball ISD",14741.9438326564,39.8909030517493,290.91195610935
"33",101924,"Sheldon ISD",11589.1878682786,133.064081200315,497.576111359389
"34",101925,"Huffman ISD",40600.4848271493,466.164348288747,1743.1619531248
"35",126902,"Burleson ISD",55509.8762415622,142.10243661248,869.753934492594
"36",220901,"Arlington ISD",327859.16874241,1478.26888449335,7600.99015184651
"37",220902,"Birdville ISD",149866.262346097,377.202139754566,3021.06232494096
"38",220904,"Everman ISD",33252.6712545933,140.327770783036,809.432153685457
"39",220905,"Fort Worth ISD",507554.286611904,2205.34794798963,13289.9418093176
"40",220906,"Grapevine-Colleyville ISD",100334.861827805,155.47073507897,1739.75095696898
"41",220907,"Keller ISD",131015.275526939,363.196371426934,2329.5584695542
"42",220908,"Mansfield ISD",166814.715593034,430.445846021328,2981.87001661139
"43",220910,"Lake Worth ISD",20700.4625262516,99.7581846600417,818.203002047811
"44",220912,"Crowley ISD",102193.695390505,413.351390396027,2504.36557476595
"45",220914,"Kennedale ISD",25040.8930040939,94.5386338451569,435.128874777732
"46",220916,"Hurst-Euless-Bedford ISD",173171.620999448,519.674295419305,3701.89242722179
"47",220917,"Castleberry ISD",14378.3482416947,48.5211087637725,278.561221658341
"48",220918,"Eagle Mountain-Saginaw ISD",126070.485645919,520.110495400985,3030.64744145528
"49",220919,"Carroll ISD",27016.9713978881,12.2830429358258,293.89292425052
"50",220920,"White Settlement ISD",45043.0700691118,170.897939955074,1083.95037507109
