"date","hits","keyword","geo","time","gprop","category"
2020-09-13,"2","Trump","US","today+5-y","web",0
2020-09-20,"2","Trump","US","today+5-y","web",0
2020-09-27,"6","Trump","US","today+5-y","web",0
2020-10-04,"5","Trump","US","today+5-y","web",0
2020-10-11,"3","Trump","US","today+5-y","web",0
2020-10-18,"3","Trump","US","today+5-y","web",0
2020-10-25,"3","Trump","US","today+5-y","web",0
2020-11-01,"9","Trump","US","today+5-y","web",0
2020-11-08,"5","Trump","US","today+5-y","web",0
2020-11-15,"3","Trump","US","today+5-y","web",0
2020-11-22,"2","Trump","US","today+5-y","web",0
2020-11-29,"2","Trump","US","today+5-y","web",0
2020-12-06,"2","Trump","US","today+5-y","web",0
2020-12-13,"2","Trump","US","today+5-y","web",0
2020-12-20,"2","Trump","US","today+5-y","web",0
2020-12-27,"2","Trump","US","today+5-y","web",0
2021-01-03,"5","Trump","US","today+5-y","web",0
2021-01-10,"4","Trump","US","today+5-y","web",0
2021-01-17,"4","Trump","US","today+5-y","web",0
2021-01-24,"1","Trump","US","today+5-y","web",0
2021-01-31,"1","Trump","US","today+5-y","web",0
2021-02-07,"1","Trump","US","today+5-y","web",0
2021-02-14,"1","Trump","US","today+5-y","web",0
2021-02-21,"1","Trump","US","today+5-y","web",0
2021-02-28,"1","Trump","US","today+5-y","web",0
2021-03-07,"1","Trump","US","today+5-y","web",0
2021-03-14,"<1","Trump","US","today+5-y","web",0
2021-03-21,"<1","Trump","US","today+5-y","web",0
2021-03-28,"<1","Trump","US","today+5-y","web",0
2021-04-04,"<1","Trump","US","today+5-y","web",0
2021-04-11,"<1","Trump","US","today+5-y","web",0
2021-04-18,"<1","Trump","US","today+5-y","web",0
2021-04-25,"<1","Trump","US","today+5-y","web",0
2021-05-02,"<1","Trump","US","today+5-y","web",0
2021-05-09,"<1","Trump","US","today+5-y","web",0
2021-05-16,"<1","Trump","US","today+5-y","web",0
2021-05-23,"<1","Trump","US","today+5-y","web",0
2021-05-30,"<1","Trump","US","today+5-y","web",0
2021-06-06,"<1","Trump","US","today+5-y","web",0
2021-06-13,"<1","Trump","US","today+5-y","web",0
2021-06-20,"<1","Trump","US","today+5-y","web",0
2021-06-27,"1","Trump","US","today+5-y","web",0
2021-07-04,"<1","Trump","US","today+5-y","web",0
2021-07-11,"<1","Trump","US","today+5-y","web",0
2021-07-18,"<1","Trump","US","today+5-y","web",0
2021-07-25,"<1","Trump","US","today+5-y","web",0
2021-08-01,"<1","Trump","US","today+5-y","web",0
2021-08-08,"<1","Trump","US","today+5-y","web",0
