GEOID,NAME,estimate_labor_force,estimate_unemployed,moe_labor_force,moe_unemployed,unemployment_rate
26103,"Marquette County, Michigan",32940,1849,620,256,0.05613236187006679
26107,"Mecosta County, Michigan",17789,981,452,167,0.055146438810500874
26063,"Huron County, Michigan",14381,756,260,122,0.05256936235310479
26099,"Macomb County, Michigan",459702,26413,2547,1372,0.05745678722302709
26041,"Delta County, Michigan",15917,820,475,200,0.05151724571213168
26013,"Baraga County, Michigan",3150,155,137,48,0.049206349206349205
26095,"Luce County, Michigan",1591,132,135,63,0.08296668761785041
26073,"Isabella County, Michigan",34081,2441,657,387,0.07162348522637246
26115,"Monroe County, Michigan",75313,4274,1156,647,0.05674983070651813
26083,"Keweenaw County, Michigan",835,39,66,17,0.046706586826347304
26089,"Leelanau County, Michigan",10042,322,253,102,0.032065325632344155
26121,"Muskegon County, Michigan",83299,6217,1250,606,0.07463474951680092
26047,"Emmet County, Michigan",17748,673,334,134,0.03791976560739238
26163,"Wayne County, Michigan",835963,75008,4486,2630,0.08972645918539457
26055,"Grand Traverse County, Michigan",50437,1968,744,363,0.03901897416579099
26053,"Gogebic County, Michigan",6469,388,302,119,0.059978358324315965
26135,"Oscoda County, Michigan",3038,270,166,85,0.08887425938117183
26029,"Charlevoix County, Michigan",13114,499,245,175,0.03805093792893091
26071,"Iron County, Michigan",4724,218,177,63,0.04614733276883996
26147,"St. Clair County, Michigan",79287,5323,921,583,0.0671358482475059
26141,"Presque Isle County, Michigan",5050,325,209,60,0.06435643564356436
26109,"Menominee County, Michigan",11237,508,337,101,0.04520779567500222
26097,"Mackinac County, Michigan",4839,490,193,131,0.1012605910312048
26035,"Clare County, Michigan",12173,1132,384,185,0.09299268873736959
26007,"Alpena County, Michigan",13140,966,412,216,0.07351598173515982
26003,"Alger County, Michigan",3071,156,163,56,0.05079778573754477
26129,"Ogemaw County, Michigan",8284,587,276,123,0.0708594881699662
26021,"Berrien County, Michigan",76120,5022,1074,697,0.06597477666841829
26165,"Wexford County, Michigan",15027,952,400,224,0.06335263192919412
26059,"Hillsdale County, Michigan",21106,931,471,182,0.04411067942765091
26005,"Allegan County, Michigan",59038,1991,1088,351,0.033724042142348996
26139,"Ottawa County, Michigan",159492,6024,1527,923,0.037769919494394705
26065,"Ingham County, Michigan",150814,9684,1587,792,0.06421154534724893
26051,"Gladwin County, Michigan",9942,684,302,140,0.0687990343995172
26105,"Mason County, Michigan",13042,632,351,127,0.0484588253335378
26085,"Lake County, Michigan",4370,326,197,81,0.07459954233409612
26045,"Eaton County, Michigan",56631,2736,775,336,0.04831276156168883
26155,"Shiawassee County, Michigan",33281,1349,693,213,0.04053363781136384
26061,"Houghton County, Michigan",17897,1104,508,268,0.06168631614237023
26017,"Bay County, Michigan",50747,2453,832,378,0.04833783277829231
26151,"Sanilac County, Michigan",18565,1216,322,154,0.06549959601400485
26137,"Otsego County, Michigan",12443,596,350,148,0.04789841678051917
26143,"Roscommon County, Michigan",8614,494,357,108,0.0573485024378918
26087,"Lapeer County, Michigan",43266,2303,697,377,0.05322886331068275
26093,"Livingston County, Michigan",102593,4059,1152,461,0.039564102814032144
26043,"Dickinson County, Michigan",12348,472,388,168,0.038224813735017814
26001,"Alcona County, Michigan",3779,239,160,61,0.0632442445091294
26031,"Cheboygan County, Michigan",11185,805,343,140,0.07197139025480555
26009,"Antrim County, Michigan",11221,512,317,95,0.04562873184208181
26161,"Washtenaw County, Michigan",197953,9278,1844,982,0.046869711497173575
26081,"Kent County, Michigan",358345,16058,2407,1302,0.04481156427465152
26125,"Oakland County, Michigan",692673,33009,3000,1599,0.047654520964437765
26027,"Cass County, Michigan",25181,1260,653,219,0.050037726857551326
26067,"Ionia County, Michigan",32181,1716,670,412,0.05332338957770113
26069,"Iosco County, Michigan",10091,748,284,154,0.07412545832920424
26133,"Osceola County, Michigan",9762,748,231,149,0.07662364269616882
26157,"Tuscola County, Michigan",24383,1491,513,244,0.06114916130090637
26023,"Branch County, Michigan",20229,990,493,260,0.048939641109298535
26131,"Ontonagon County, Michigan",2156,136,110,40,0.06307977736549165
26077,"Kalamazoo County, Michigan",140584,9055,1756,815,0.0644098901724236
26057,"Gratiot County, Michigan",18016,885,438,198,0.04912300177619893
26145,"Saginaw County, Michigan",87326,5803,1222,716,0.06645214483658933
26113,"Missaukee County, Michigan",7030,483,209,103,0.06870554765291607
26037,"Clinton County, Michigan",40804,1511,659,327,0.03703068326634644
26019,"Benzie County, Michigan",8405,376,275,84,0.044735276621058896
26111,"Midland County, Michigan",40155,2001,691,300,0.04983190138214419
26025,"Calhoun County, Michigan",63885,4337,877,473,0.06788761055020741
26117,"Montcalm County, Michigan",30047,1276,648,320,0.042466802010184046
26159,"Van Buren County, Michigan",36063,1681,836,280,0.046612871918586915
26091,"Lenawee County, Michigan",46638,2592,767,477,0.05557699729834041
26153,"Schoolcraft County, Michigan",3460,274,174,86,0.07919075144508671
26033,"Chippewa County, Michigan",17021,1310,443,208,0.07696375066094824
26101,"Manistee County, Michigan",10373,683,274,129,0.06584401812397571
26127,"Oceana County, Michigan",12023,606,332,145,0.05040339349579972
26119,"Montmorency County, Michigan",3389,210,188,80,0.06196518146946002
26011,"Arenac County, Michigan",6639,480,155,91,0.07230004518752824
26049,"Genesee County, Michigan",189531,16087,2298,979,0.08487793553561158
26015,"Barry County, Michigan",30509,1605,633,316,0.05260742731652955
26149,"St. Joseph County, Michigan",29485,1549,548,292,0.0525351873834153
26123,"Newaygo County, Michigan",22613,1053,477,238,0.046566134524388625
26079,"Kalkaska County, Michigan",7965,366,260,73,0.045951035781544254
26075,"Jackson County, Michigan",73937,4673,1134,522,0.0632024561450965
26039,"Crawford County, Michigan",5624,343,251,97,0.06098862019914651
