"Rank","Country","GDP_USD","newyear"
NA,"117,165,394","111,326,370","100,834,796"
NA,"30,615,743","29,184,890","27,720,700"
NA,"19,398,577","18,743,803","17,794,782"
NA,"5,013,574","4,659,929","4,525,704"
NA,"4,279,828","4,026,211","4,204,495"
NA,"4,125,213","3,912,686","3,575,778"
NA,"3,958,780","3,643,834","3,380,855"
NA,"3,361,557","3,162,079","3,051,832"
NA,"2,543,677","2,372,775","2,300,941"
NA,"2,540,656","2,173,836","2,008,419"
NA,"2,283,599","2,241,253","2,142,471"
NA,"2,256,910","2,179,412","2,191,132"
NA,"1,891,371","1,722,746","1,620,091"
NA,"1,862,740","1,852,723","1,793,799"
NA,"1,858,572","1,712,793","1,839,058"
NA,"1,829,508","1,752,193","1,775,628"
NA,"1,565,471","1,323,255","1,118,253"
NA,"1,443,256","1,396,300","1,371,171"
NA,"1,320,635","1,227,544","1,154,361"
NA,"1,268,535","1,237,530","1,067,583"
NA,"1,039,619","914,696","809,201"
NA,"1,002,666","936,564","894,425"
NA,"884,387","—","—"
NA,"716,980","664,564","644,783"
NA,"708,771","577,389","551,395"
NA,"683,371","633,267","646,075"
NA,"662,318","610,118","584,960"
NA,"610,752","540,380","513,611"
NA,"574,185","547,387","501,428"
NA,"569,097","537,079","514,130"
NA,"566,456","521,642","511,685"
NA,"558,573","526,411","514,945"
NA,"517,102","483,727","485,311"
NA,"494,158","461,618","437,146"
NA,"484,726","476,388","429,717"
NA,"475,011","450,119","422,431"
NA,"470,572","421,972","399,649"
NA,"459,612","429,457","407,092"
NA,"438,121","418,542","363,540"
NA,"428,233","407,107","380,812"
NA,"426,383","400,261","377,782"
NA,"422,508","382,768","350,776"
NA,"410,495","373,072","337,900"
NA,"383,384","345,037","343,208"
NA,"356,513","436,906","401,596"
NA,"349,264","389,050","331,590"
NA,"347,174","330,267","335,533"
NA,"337,936","308,683","289,114"
NA,"318,480","289,222","267,603"
NA,"314,724","299,836","295,532"
NA,"300,052","288,406","264,293"
NA,"288,013","263,620","247,626"
NA,"285,003","188,271","187,760"
NA,"282,019","257,145","243,498"
NA,"265,455","279,641","232,107"
NA,"262,909","260,236","252,176"
NA,"247,759","217,905","212,657"
NA,"222,119","222,905","213,003"
NA,"209,713","190,741","178,757"
NA,"—","—","201,986"
NA,"179,612","154,431","144,438"
NA,"157,469","160,227","163,705"
NA,"154,587","141,776","132,908"
NA,"137,480","114,965","90,889"
NA,"136,014","124,499","108,039"
NA,"130,529","124,676","118,845"
NA,"129,748","124,282","121,444"
NA,"127,924","112,212","102,397"
NA,"126,546","125,842","117,902"
NA,"120,850","113,200","104,451"
NA,"115,167","80,397","90,552"
NA,"111,963","82,825","76,370"
NA,"109,492","163,698","159,746"
NA,"105,190","106,943","105,896"
NA,"103,901","92,526","84,391"
NA,"102,637","95,350","86,498"
NA,"100,642","93,197","85,755"
NA,"100,048","89,084","75,187"
NA,"99,207","86,538","78,789"
NA,"98,964 (2024)","98,963","84,364"
NA,"95,274","84,869","79,790"
NA,"90,408","86,260","83,382"
NA,"87,444","78,780","78,353"
NA,"85,739","75,962","71,857"
NA,"84,986","80,962","77,236"
NA,"82,767","—","139,395"
NA,"82,262","70,749","69,338"
NA,"79,221","72,485","69,148"
NA,"76,390","74,316","72,356"
NA,"72,119","64,240","59,887"
NA,"64,993","53,652","51,023"
NA,"60,577","51,327","49,279"
NA,"60,561","74,080","62,084"
NA,"59,069","53,410","48,541"
NA,"57,086","49,668","45,135"
NA,"56,157","53,352","50,814"
NA,"53,310","44,188","30,368"
NA,"52,379","50,183","45,803"
NA,"48,802","46,353","42,824"
NA,"47,941","46,636","44,030"
NA,"47,880","43,521","42,248"
NA,"47,398","44,458","42,955"
NA,"47,391","47,737","44,662"
NA,"46,763","42,765","41,291"
NA,"45,513","42,914","40,484"
NA,"39,943","36,333","33,887"
NA,"39,445","37,094","34,401"
NA,"38,386","33,463","31,325"
NA,"37,403","33,776","30,536"
NA,"36,839","32,267","30,408"
NA,"36,587","35,365","34,016"
NA,"35,897","49,910","34,021"
NA,"33,237","28,343","27,515"
NA,"32,714","32,538","31,020"
NA,"30,908","25,224","19,841"
NA,"29,939","27,178","22,978"
NA,"29,369","26,326","27,578"
NA,"28,280 (2024)","20,079","27,464"
NA,"27,859","25,787","24,219"
NA,"27,745","24,322","22,212"
NA,"27,515","25,334","23,006"
NA,"26,866","23,250","20,325"
NA,"26,002","26,429","25,489"
NA,"25,591","26,588","20,662"
NA,"25,105","23,586","19,872"
NA,"25,064","24,836","16,683"
NA,"24,726","22,417","20,954"
NA,"24,402","21,483","19,673"
NA,"23,137","19,930","19,423"
NA,"22,969","19,538","16,819"
NA,"21,592","20,626","17,643"
NA,"21,455","20,867","20,056"
NA,"20,689","19,694","17,829"
NA,"20,160","17,478","13,988"
