"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"1","Congressional Committee Prints","CPRT-115SPRT28545","CPRT-115SPRT28545","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-115SPRT28545/CPRT-115SPRT28545","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28545/pdf/CPRT-115SPRT28545.pdf","83.7 KB","https://www.govinfo.gov/content/pkg/CPRT-115SPRT28545/html/CPRT-115SPRT28545.htm","41.6 KB","","0 B","","0 B","","0 B"," IN TIFF FORMAT] FEBRUARY 2018 Printed for the use of the Committee on Foreign Relations ______ U.S. GOVERNMENT PUBLISHING OFFICE 28-545 PDF WASHINGTON : 2018 For sale by the Superintendent of Documents, U.S. Government Publishing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; DC area (202) 512-1800 Fax: (202) 512-2104 ...","","2018-02-01"
"2","Congressional Committee Prints","CPRT-115SPRT23704","CPRT-115SPRT23704","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-115SPRT23704/CPRT-115SPRT23704","https://www.govinfo.gov/content/pkg/CPRT-115SPRT23704/pdf/CPRT-115SPRT23704.pdf","83.5 KB","https://www.govinfo.gov/content/pkg/CPRT-115SPRT23704/html/CPRT-115SPRT23704.htm","41.6 KB","","0 B","","0 B","","0 B"," IN TIFF FORMAT] JANUARY 2017 Printed for the use of the Committee on Foreign Relations ________ U.S. GOVERNMENT PUBLISHING OFFICE 23-704 PDF WASHINGTON : 2017 For sale by the Superintendent of Documents, U.S. Government Publishing Office, Internet:bookstore.gpo.gov. Phone:toll free (866)512-1800;DC area (202)512-1800 Fax:(202) 512-2104 Mail:...","","2017-01-01"
"3","Congressional Committee Prints","CPRT-112SPRT64350","CPRT-112SPRT64350","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-112SPRT64350/CPRT-112SPRT64350","https://www.govinfo.gov/content/pkg/CPRT-112SPRT64350/pdf/CPRT-112SPRT64350.pdf","80.2 KB","https://www.govinfo.gov/content/pkg/CPRT-112SPRT64350/html/CPRT-112SPRT64350.htm","37.9 KB","","0 B","","0 B","","0 B"," 64350 WASHINGTON : 2010 For sale by the Superintendent of Documents, U.S. Government Printing Office, http://bookstore.gpo.gov. For more information, contact the GPO Customer Contact Center, U.S. Government Printing Office. Phone 202�09512�091800, or 866�09512�091800 (toll-free). E-mail, gpo@custhelp.com. JOHN KERRY, Massachusetts, Chairman ...","","2012-01-01"
"4","Congressional Committee Prints","CPRT-108SPRT86466","CPRT-108SPRT86466","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-108SPRT86466/CPRT-108SPRT86466","https://www.govinfo.gov/content/pkg/CPRT-108SPRT86466/pdf/CPRT-108SPRT86466.pdf","141.6 KB","https://www.govinfo.gov/content/pkg/CPRT-108SPRT86466/html/CPRT-108SPRT86466.htm","39.0 KB","","0 B","","0 B","","0 B","IN TIFF FORMAT] Printed for the use of the Committee on foreign Relations _______ U. S. GOVERNMENT PRINTING OFFICE 86-466 WASHINGTON : 2003 For Sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; (202) 512-1800 Fax: (202) 512-2250 Mail: Stop SSOP, Washington, DC 20402...","","2004-01-01"
"5","Congressional Committee Prints","CPRT-107SPRT69993","CPRT-107SPRT69993","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-107SPRT69993/CPRT-107SPRT69993","https://www.govinfo.gov/content/pkg/CPRT-107SPRT69993/pdf/CPRT-107SPRT69993.pdf","86.0 KB","https://www.govinfo.gov/content/pkg/CPRT-107SPRT69993/html/CPRT-107SPRT69993.htm","38.3 KB","","0 B","","0 B","","0 B"," H. SMITH, Oregon CRAIG THOMAS, Wyoming BILL FRIST, Tennessee LINCOLN D. CHAFEE, Rhode Island GEORGE ALLEN, Virginia SAM BROWNBACK, Kansas JOSEPH R. BIDEN, Jr., Delaware PAUL S. SARBANES, Maryland CHRISTOPHER J. DODD, Connecticut JOHN F. KERRY, Massachusetts RUSSELL D. FEINGOLD, Wisconsin PAUL D. WELLSTONE, Minnesota BARBARA BOXER, California ...","","2002-01-01"
"6","Congressional Committee Prints","CPRT-108JPRT87164","CPRT-108JPRT87164","Legislation on Foreign Relations Through 2002","https://www.govinfo.gov/app/details/CPRT-108JPRT87164/CPRT-108JPRT87164","https://www.govinfo.gov/content/pkg/CPRT-108JPRT87164/pdf/CPRT-108JPRT87164.pdf","2.9 MB","https://www.govinfo.gov/content/pkg/CPRT-108JPRT87164/html/CPRT-108JPRT87164.htm","4.1 MB","","0 B","","0 B","","0 B"," JULY 2003 VOLUME I-A OF VOLUMES I-A AND I-B CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. House of Representatives U.S. Senate Printed for the use of the Committees on International Relations and Foreign Relations of the House of Representatives and the Senate respectively U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 2003 87-164 CC For ...","","2003-07-01"
"7","Congressional Committee Prints","CPRT-105JPRT45488","CPRT-105JPRT45488","Legislation on Foreign Relations Through 1997","https://www.govinfo.gov/app/details/CPRT-105JPRT45488/CPRT-105JPRT45488","https://www.govinfo.gov/content/pkg/CPRT-105JPRT45488/pdf/CPRT-105JPRT45488.pdf","1.9 MB","https://www.govinfo.gov/content/pkg/CPRT-105JPRT45488/html/CPRT-105JPRT45488.htm","3.0 MB","","0 B","","0 B","","0 B"," OF VOLUMES I-A AND I-B CURRENT LEGISLATION AND RELATED EXECUTIVE ORDERS U.S. Senate U.S. House of Representatives Printed for the use of the Committees on Foreign Relations and International Relations of the Senate and the House of Representatives respectively ------- U.S. GOVERNMENT PRINTING OFFICE WASHINGTON : 1998 45-488 CC For sale by the U.S...","","1998-03-01"
"8","Congressional Committee Prints","CPRT-116SPRT34576","CPRT-116SPRT34576","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-116SPRT34576/CPRT-116SPRT34576","https://www.govinfo.gov/content/pkg/CPRT-116SPRT34576/pdf/CPRT-116SPRT34576.pdf","83.2 KB","https://www.govinfo.gov/content/pkg/CPRT-116SPRT34576/html/CPRT-116SPRT34576.htm","40.7 KB","","0 B","","0 B","","0 B"," IN TIFF FORMAT] FEBRUARY 2019 Printed for the use of Committee on Foreign Relations U.S. GOVERNMENT PUBLISHING OFFICE 34-576PDF WASHINGTON : 2019 COMMITTEE ON FOREIGN RELATIONS JAMES E. RISCH, Idaho, Chairman MARCO RUBIO, Florida ROBERT MENENDEZ, New Jersey RON JOHNSON, Wisconsin BENJAMIN L. CARDIN, Maryland CORY GARDNER, Colorado JEANNE SHAHEEN...","","2019-02-01"
"9","Congressional Committee Prints","CPRT-109SPRT98278","CPRT-109SPRT98278","RULES OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE","https://www.govinfo.gov/app/details/CPRT-109SPRT98278/CPRT-109SPRT98278","https://www.govinfo.gov/content/pkg/CPRT-109SPRT98278/pdf/CPRT-109SPRT98278.pdf","153.0 KB","https://www.govinfo.gov/content/pkg/CPRT-109SPRT98278/html/CPRT-109SPRT98278.htm","38.8 KB","","0 B","","0 B","","0 B"," 98-278 WASHINGTON : 2005 For Sale by the Superintendent of Documents, U.S. Government Printing Office Internet: bookstore.gpo.gov Phone: toll free (866) 512-1800; (202) 512�091800 Fax: (202) 512�092250 Mail: Stop SSOP, Washington, DC 20402�090001 COMMITTEE ON FOREIGN RELATIONS RICHARD G. LUGAR, Indiana, Chairman CHUCK HAGEL, Nebraska JOSEPH R...","","2006-01-01"
"10","Congressional Committee Prints","CPRT-95JPRT20039OvIII","CPRT-95JPRT20039OvIII","Legislation on foreign relations through 1977. Volume III: Treaties and Related Material, Committee on International Relations, Committee on Foreign Relations.","https://www.govinfo.gov/app/details/CPRT-95JPRT20039OvIII/CPRT-95JPRT20039OvIII","https://www.govinfo.gov/content/pkg/CPRT-95JPRT20039OvIII/pdf/CPRT-95JPRT20039OvIII.pdf","405.0 MB","","0 B","","0 B","","0 B","","0 B","KANSAS STATE UNIVERSITY U.S. House of Representatives U.S. Senate OCUMLNTS MAR 3 0 107g oreign Relations hrough 1977 VOLUME III COMMITTEE ON INTERNATIONAL RELATIONS COMMITTEE ON FOREIGN RELATIONS Legislation on Foreign Relations Through 1977 JOINT COMMITTEE PRINT FEBRUARY 1978 TREATIES AND RELATED MATERIAL VOLUME III U.S. House of Representatives ...","","1978-02-01"
