"Rank","Country","Forexres","Date","Change","Sources","NA","NA","newdate"
"Country(as recognized by the U.N.)","Continent","Including gold","Including gold","Excluding gold","Excluding gold","Last reporteddate","Ref.","Including gold"
"Country(as recognized by the U.N.)","Continent","millions U.S.$","Change","millions U.S.$","Change","Last reporteddate","Ref.","Change"
"China","Asia","3,643,149","41,079","3,389,306","31,221","31 Aug 2025","[3]","41,079"
"Japan","Asia","1,324,210","19,774","1,230,940","16,230","31 Aug 2025","[4]","19,774"
"Switzerland","Europe","1,007,710","13,935","897,295","14,490","31 Jul 2025","[5]","13,935"
"Russia","Europe/Asia","734,100","14,300","434,487","1,517","14 Nov 2025","[6]","14,300"
"India","Asia","692,576","5,543","585,719","216","14 Nov 2025","[7]","5,543"
"Taiwan","Asia","597,430","4,390","544,300","1,071","31 Aug 2025","[8]","4,390"
"Saudi Arabia","Asia","434,547","21,728","434,116","21,728","7 Nov 2024","[9]","21,728"
"Hong Kong","Asia","421,400","5,126","416,216","85","8 Nov 2024","[10]","5,126"
"South Korea","Asia","415,700","4,300","410,900","790","5 Nov 2024","[11]","4,300"
"Brazil","Americas","388,571","7,465","344,173","361","1 Oct 2024","[12]","7,465"
"Singapore","Asia","383,721","5,907","374,809","156","7 Nov 2024","[13]","5,907"
"Germany","Europe","345,338","9,863","91,071","9,275","1 Oct 2024","[14]","9,863"
"Italy","Europe","279,631","14,225","79,064","1,240","1 Nov 2024","[15]","14,225"
"France","Europe","272,693","1,132","66,641","143","1 Nov 2024","[16]","1,132"
"United States","Americas","253,767","811","242,726","811","22 Aug 2025","[17]","811"
"Mexico","Americas","249,744","1,495","236,200","9","21 Oct 2025","[18]","1,495"
"Israel","Asia","231,880","1,560","—","—","6 Oct 2025","[19]","1,560"
"Thailand","Asia","237,866","598","217,231","540","8 Nov 2024","[20]","598"
"Poland","Europe","223,200","4,800","188,140","1,257","7 Jan 2025","[21]","4,800"
"United Arab Emirates","Asia","210,000","5,340","199,400","87","1 Nov 2024","[22]","5,340"
"United Kingdom","Europe","189,228","4,870","161,908","5,910","1 Nov 2024","[23]","4,870"
"Indonesia","Asia","159,246","3,382","—","—","1 Nov 2024","[24]","3,382"
"Czech Republic","Europe","149,416","507","145,012","168","1 Nov 2024","[25]","507"
"Turkey","Asia","138,100","13,967","57,800","31,960","16 May 2025","[26]","13,967"
"Netherlands","Europe","125,451","212","—","—","1 Mar 2024","[27]","212"
"Canada","Americas","123,084","4,990","—","—","1 Nov 2024","[28]","4,990"
"Malaysia","Asia","119,700","17,459","113,877","14,225","1 Oct 2024","[29]","17,459"
"Philippines","Asia","112,434","328","101,081","41","1 Nov 2024","[30]","328"
"Spain","Europe","100,983","2.380","77,348","2,300","1 Nov 2024","[31]","2.380"
"Iraq","Asia","100,000","15,000","—","—","25 Mar 2024","[32]","15,000"
"Vietnam","Asia","93,342","1,241","—","—","1 Mar 2024","[33]","1,241"
"Denmark","Europe","93,196","763","88,450","273","1 Nov 2024","[34]","763"
"Romania","Europe","82,473","4,005","73,645","3,590","30 Sep 2024","[35]","4,005"
"Belgium","Europe","82,000","14,200","67,200","79","1 Mar 2024","[36]","14,200"
"Norway","Europe","80,110","1430","—","—","1 Oct 2024","[37]","1430"
"Peru","Americas","73,483","201","—","—","1 Mar 2024","[38]","201"
"Libya","Africa","70,524","238","—","—","1 Mar 2024","[39]","238"
"Algeria","Africa","68,028","1,880","—","—","1 Mar 2024","[40]","1,880"
"South Africa","Africa","67,450","1,186","54,862","143","31 Mar 2025","[41]","1,186"
"Australia","Oceania","65,018","119","57,998","267","7 Nov 2024","[42]","119"
"Qatar","Asia","64,560","8,931","—","—","1 Mar 2024","[43]","8,931"
"Sweden","Europe","62,438","271","52,395","209","7 Nov 2024","[44]","271"
"Colombia","Americas","57,269","124","—","—","8 Mar 2024","[45]","124"
